Iteration,AverageDiscountedReturn,KL,KLBefore,NumTrajs,StdReturn,LossAfter,ProcessExecTime,PolicyExecTime,MaxReturn,dLoss,MinReturn,EnvExecTime,LossBefore,TotalEnvSteps,AverageReturn,GradNorm,Entropy
54,-8.727002163297021,0.003478233003988862,0.0033215871080756187,300,0.5352180241110472,-0.14577800035476685,0.35330629348754883,11.109805583953857,-20.0,0.0009149760007858276,-25.000000000000004,6.47596549987793,-0.14486302435398102,1650842,-20.125,0.18666106278052955,1.4005829095840454
55,-8.718101472646211,0.003745712572708726,0.0034459137823432684,300,0.38450906650197764,-0.14548522233963013,0.3511354923248291,10.997105121612549,-20.0,-0.001472383737564087,-22.5,6.429117202758789,-0.1469576060771942,1680842,-20.091666666666665,0.20197618669088738,1.3938952684402466
56,-8.700888411209517,0.0035926797427237034,0.003763023531064391,300,0.28087165910587863,-0.1457078903913498,0.3574512004852295,11.163272380828857,-20.0,0.0002005845308303833,-21.25,6.513860702514648,-0.1455073058605194,1710842,-20.066666666666666,0.1985358482686255,1.3953609466552734
57,-8.734990644628216,0.0032960979733616114,0.0036167169455438852,300,0.41197356981027583,-0.14651456475257874,0.3492119312286377,11.011139869689941,-20.0,0.0007790029048919678,-22.5,6.419631242752075,-0.14573556184768677,1740842,-20.133333333333333,0.18062083447483993,1.4013739824295044
58,-8.73990090668296,0.0036276134196668863,0.0033046617172658443,300,0.42695628191498325,-0.14611297845840454,0.35271382331848145,11.202082395553589,-20.0,0.0009054839611053467,-22.5,6.546599388122559,-0.1452074944972992,1770842,-20.125,0.20584373674282444,1.3946423530578613
59,-8.720482030359163,0.0033624202478677034,0.0036623983178287745,300,0.32585357993361924,-0.1460459679365158,0.3437385559082031,10.94243311882019,-20.0,-0.0012111067771911621,-21.25,6.3874828815460205,-0.14725707471370697,1800842,-20.091666666666665,0.1672909287667368,1.4041221141815186
60,-8.705097787063037,0.0032309198286384344,0.003420120570808649,300,0.3258535799336192,-0.14584343135356903,0.3682076930999756,11.552406787872314,-20.0,0.0006998181343078613,-21.25,6.731999397277832,-0.14514361321926117,1830842,-20.091666666666665,0.14231621806914538,1.4009218215942383
61,-8.691245076799165,0.003054599277675152,0.003284923266619444,300,0.2843120351538663,-0.14596012234687805,0.34827756881713867,11.032599925994873,-20.0,6.48796558380127e-05,-22.5,6.439679861068726,-0.14589524269104004,1860842,-20.05,0.16571527101424474,1.4031310081481934
62,-8.707327899391112,0.0032334597781300545,0.0030418732203543186,300,0.32585357993361924,-0.14678320288658142,0.3638756275177002,11.488373279571533,-20.0,0.0003180950880050659,-21.25,6.658316373825073,-0.14646510779857635,1890842,-20.091666666666665,0.17264551329957348,1.4065653085708618
63,-8.698268340325258,0.0034961625933647156,0.003246167441830039,300,0.3300883720056394,-0.14671069383621216,0.35377073287963867,11.150777339935303,-20.0,0.0020655542612075806,-22.5,6.522698163986206,-0.14464513957500458,1920842,-20.075,0.1712865827122672,1.406026840209961
64,-8.72541339965026,0.0033366030547767878,0.0035272198729217052,300,0.4169998667732268,-0.1458536684513092,0.3508768081665039,11.094399452209473,-20.0,0.0016551613807678223,-22.5,6.485064268112183,-0.14419850707054138,1950842,-20.116666666666667,0.16518902411466768,1.3971846103668213
65,-8.727048701561428,0.0031856910791248083,0.003334722714498639,300,0.4314864488666542,-0.14561662077903748,0.35869336128234863,11.354081869125366,-20.0,-0.0003760606050491333,-22.500000000000004,6.635766267776489,-0.1459926813840866,1980842,-20.108333333333334,0.1500140075074049,1.399911642074585
66,-8.69054788103213,0.0033251172862946987,0.0032054493203759193,300,0.3602661053536217,-0.14595870673656464,0.35468459129333496,11.24666452407837,-20.0,-0.0007496625185012817,-22.500000000000004,6.57281494140625,-0.14670836925506592,2010842,-20.075,0.16385519619677305,1.402723789215088
